epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1156.55,0.96993,0.55378,0.86681,0.93986,0.96012,0.95705,0.57268,1.23531,0.59647,0.9751,0.0002105,0.0002105,0.0002105
86,1168.83,0.94562,0.54246,0.87087,0.93021,0.95404,0.94735,0.5632,1.24368,0.60019,0.97065,0.000198125,0.000198125,0.000198125
87,1181.25,0.98547,0.54903,0.86591,0.93379,0.95317,0.94822,0.55246,1.24794,0.59386,0.97013,0.00018575,0.00018575,0.00018575
88,1194.81,0.94203,0.54181,0.85484,0.93779,0.94531,0.94857,0.55881,1.20933,0.58574,0.9654,0.000173375,0.000173375,0.000173375
89,1208.26,0.97116,0.54572,0.85335,0.93705,0.94561,0.94847,0.56798,1.20336,0.58407,0.96611,0.000161,0.000161,0.000161
90,1221.64,0.96347,0.54374,0.86093,0.94102,0.96051,0.95805,0.56834,1.22337,0.58452,0.97028,0.000148625,0.000148625,0.000148625
91,1233.95,0.97016,0.62288,0.88316,0.9456,0.96129,0.95807,0.56322,1.25295,0.58582,0.97468,0.00013625,0.00013625,0.00013625
92,1246.22,0.96479,0.60169,0.8606,0.93624,0.9613,0.96321,0.56012,1.25655,0.59604,0.9755,0.000123875,0.000123875,0.000123875
93,1260.27,0.93999,0.59323,0.86683,0.92977,0.96274,0.96257,0.56706,1.24047,0.59857,0.97378,0.0001115,0.0001115,0.0001115
94,1274.8,0.95801,0.59964,0.86195,0.93083,0.96712,0.96345,0.56328,1.22536,0.59428,0.97309,9.9125e-05,9.9125e-05,9.9125e-05
95,1287.02,0.94428,0.56774,0.86116,0.92665,0.96841,0.96422,0.56037,1.2232,0.59031,0.9729,8.675e-05,8.675e-05,8.675e-05
96,1298.93,0.95773,0.55141,0.87522,0.91645,0.96683,0.96164,0.5479,1.24305,0.60388,0.97712,7.4375e-05,7.4375e-05,7.4375e-05
97,1310.5,0.92538,0.542,0.86773,0.90964,0.96567,0.96137,0.54526,1.25701,0.61093,0.98009,6.2e-05,6.2e-05,6.2e-05
98,1322.02,0.93589,0.55387,0.86263,0.8975,0.96679,0.96136,0.53962,1.28271,0.61795,0.98529,4.9625e-05,4.9625e-05,4.9625e-05
99,1333.73,0.91403,0.54171,0.85753,0.89804,0.96677,0.96137,0.54004,1.28084,0.61357,0.98519,3.725e-05,3.725e-05,3.725e-05
100,1345.07,0.94455,0.54837,0.86685,0.90647,0.96712,0.96144,0.54054,1.2678,0.60576,0.98182,2.4875e-05,2.4875e-05,2.4875e-05
